context_length,measured_mean_gb,measured_std_gb,n_repeats,predicted_gb,error_gb,abs_error_gb,pct_error,mae_gb,mape_pct,r_squared
512,3.7607,0.0,5,4.71,-0.9493,0.9493,-20.15498938428875,1.0745,17.08498524847001,0.8270362617629772
1024,3.8232,0.0,5,4.7771,-0.9539,0.9539,-19.968181532729062,1.0745,17.08498524847001,0.8270362617629772
2048,3.9482,0.0,5,4.9113,-0.9630999999999998,0.9630999999999998,-19.609879258037584,1.0745,17.08498524847001,0.8270362617629772
4096,4.1982,0.0,5,5.1798,-0.9816000000000003,0.9816000000000003,-18.950538630835172,1.0745,17.08498524847001,0.8270362617629772
8192,4.6982,0.0,5,5.7166,-1.0183999999999997,1.0183999999999997,-17.814785012070107,1.0745,17.08498524847001,0.8270362617629772
16384,5.7451,0.0,5,6.7904,-1.0453000000000001,1.0453000000000001,-15.393791234684262,1.0745,17.08498524847001,0.8270362617629772
32768,7.6982,0.0,5,8.9379,-1.239700000000001,1.239700000000001,-13.870148468879723,1.0745,17.08498524847001,0.8270362617629772
65536,11.7881,0.0,5,13.2328,-1.4446999999999992,1.4446999999999992,-10.917568466235409,1.0745,17.08498524847001,0.8270362617629772
