context_length,measured_mean_gb,measured_std_gb,n_repeats,predicted_gb,error_gb,abs_error_gb,pct_error,mae_gb,mape_pct,r_squared
512,7.9932,0.0,5,9.2895,-1.2963000000000005,1.2963000000000005,-13.954464718230264,1.4215250000000004,12.822605238287089,0.7002785157612279
1024,8.0557,0.0,5,9.3566,-1.3009000000000004,1.3009000000000004,-13.90355471004425,1.4215250000000004,12.822605238287089,0.7002785157612279
2048,8.1807,0.0,5,9.4908,-1.3101000000000003,1.3101000000000003,-13.803894297635606,1.4215250000000004,12.822605238287089,0.7002785157612279
4096,8.4307,0.0,5,9.7593,-1.3285999999999998,1.3285999999999998,-13.613681309110284,1.4215250000000004,12.822605238287089,0.7002785157612279
8192,8.9307,0.0,5,10.2961,-1.3653999999999993,1.3653999999999993,-13.261331960645288,1.4215250000000004,12.822605238287089,0.7002785157612279
16384,9.9775,0.0,5,11.3699,-1.3924000000000003,1.3924000000000003,-12.246369800965711,1.4215250000000004,12.822605238287089,0.7002785157612279
32768,11.9307,0.0,5,13.5174,-1.5867000000000004,1.5867000000000004,-11.738204092502999,1.4215250000000004,12.822605238287089,0.7002785157612279
65536,16.0205,0.0,5,17.8123,-1.791800000000002,1.791800000000002,-10.059341017162309,1.4215250000000004,12.822605238287089,0.7002785157612279
