context_length,measured_mean_gb,measured_std_gb,n_repeats,predicted_gb,error_gb,abs_error_gb,pct_error,mae_gb,mape_pct,r_squared
512,3.3584000000000005,0.0,5,3.8315,-0.47309999999999963,0.47309999999999963,-12.347644525642687,0.5983249999999998,10.821606298875349,0.943595230909359
1024,3.4209000000000005,0.0,5,3.8986,-0.47769999999999957,0.47769999999999957,-12.253116503360168,0.5983249999999998,10.821606298875349,0.943595230909359
2048,3.5459000000000005,0.0,5,4.0328,-0.48689999999999944,0.48689999999999944,-12.073497321959914,0.5983249999999998,10.821606298875349,0.943595230909359
4096,3.7959000000000005,0.0,5,4.3013,-0.5053999999999998,0.5053999999999998,-11.749936065840556,0.5983249999999998,10.821606298875349,0.943595230909359
8192,4.2959,0.0,5,4.8382,-0.5423,0.5423,-11.208713984539706,0.5983249999999998,10.821606298875349,0.943595230909359
16384,5.3428,0.0,5,5.9119,-0.5690999999999997,0.5690999999999997,-9.626346859723602,0.5983249999999998,10.821606298875349,0.943595230909359
32768,7.2959000000000005,0.0,5,8.0594,-0.7634999999999996,0.7634999999999996,-9.473409931260388,0.5983249999999998,10.821606298875349,0.943595230909359
65536,11.3857,0.0,5,12.3543,-0.9686000000000003,0.9686000000000003,-7.840185198675768,0.5983249999999998,10.821606298875349,0.943595230909359
