context_length,measured_mean_gb,measured_std_gb,n_repeats,predicted_gb,error_gb,abs_error_gb,pct_error,mae_gb,mape_pct,r_squared
512,5.0303,0.0,5,6.2783,-1.2479999999999993,1.2479999999999993,-19.87799245018555,1.3731874999999993,17.330482439122434,0.7200469401434185
1024,5.0928,0.0,5,6.3454,-1.2525999999999993,1.2525999999999993,-19.740284300438102,1.3731874999999993,17.330482439122434,0.7200469401434185
2048,5.2178,0.0,5,6.4796,-1.2617999999999991,1.2617999999999991,-19.47342428544971,1.3731874999999993,17.330482439122434,0.7200469401434185
4096,5.4678,0.0,5,6.748,-1.2801999999999998,1.2801999999999998,-18.971547125074093,1.3731874999999993,17.330482439122434,0.7200469401434185
8192,5.9678,0.0,5,7.2849,-1.3171,1.3171,-18.079863827918018,1.3731874999999993,17.330482439122434,0.7200469401434185
16384,7.0146,0.0,5,8.3586,-1.3439999999999994,1.3439999999999994,-16.079247720910196,1.3731874999999993,17.330482439122434,0.7200469401434185
32768,8.9678,0.0,5,10.5061,-1.5382999999999996,1.5382999999999996,-14.64196990319909,1.3731874999999993,17.330482439122434,0.7200469401434185
65536,13.057600000000003,0.0,5,14.8011,-1.7434999999999974,1.7434999999999974,-11.779529899804727,1.3731874999999993,17.330482439122434,0.7200469401434185
