context_length,measured_mean_gb,measured_std_gb,n_repeats,predicted_gb,error_gb,abs_error_gb,pct_error,mae_gb,mape_pct,r_squared
512,6.6572000000000005,0.0,5,5.7413,0.9159000000000006,0.9159000000000006,15.952832982077242,1.6745400000000004,12.66411406931844,0.33375050417608854
1024,6.6572000000000005,0.0,5,5.8126,0.8446000000000007,0.8446000000000007,14.53050270102881,1.6745400000000004,12.66411406931844,0.33375050417608854
2048,6.6572000000000005,0.0,5,5.9552,0.7020000000000008,0.7020000000000008,11.788017195056437,1.6745400000000004,12.66411406931844,0.33375050417608854
4096,6.9229,0.0,5,6.2404,0.6825000000000001,0.6825000000000001,10.936798923145954,1.6745400000000004,12.66411406931844,0.33375050417608854
8192,7.4541,0.0,9,6.8109,0.6432000000000002,0.6432000000000002,9.443685856494739,1.6745400000000004,12.66411406931844,0.33375050417608854
16384,8.5164,0.000632455532034049,10,7.9517,0.5647000000000011,0.5647000000000011,7.101626067381832,1.6745400000000004,12.66411406931844,0.33375050417608854
32768,10.6396,0.0,10,10.2334,0.4062000000000001,0.4062000000000001,3.969355248500011,1.6745400000000004,12.66411406931844,0.33375050417608854
65536,14.889599999999998,0.0,10,14.7968,0.09279999999999866,0.09279999999999866,0.6271626297577765,1.6745400000000004,12.66411406931844,0.33375050417608854
114688,21.2646,0.0,10,21.6419,-0.3772999999999982,0.3772999999999982,-1.7433774298929308,1.6745400000000004,12.66411406931844,0.33375050417608854
122880,11.2666,0.0,5,22.7828,-11.516200000000001,11.516200000000001,-50.54778165984866,1.6745400000000004,12.66411406931844,0.33375050417608854
