context_length,measured_mean_gb,measured_std_gb,n_repeats,predicted_gb,error_gb,abs_error_gb,pct_error,mae_gb,mape_pct,r_squared
512,4.624,0.0,5,5.7764,-1.1524,1.1524,-19.950141956928192,1.2775750000000001,17.258358882802703,0.7571416751897703
1024,4.6865,0.0,5,5.8435,-1.157,1.157,-19.799777530589544,1.2775750000000001,17.258358882802703,0.7571416751897703
2048,4.8115,0.0,5,5.9777,-1.1662,1.1662,-19.50917576994496,1.2775750000000001,17.258358882802703,0.7571416751897703
4096,5.0615,0.0,5,6.2461,-1.1846000000000005,1.1846000000000005,-18.965434431085004,1.2775750000000001,17.258358882802703,0.7571416751897703
8192,5.5615,0.0,5,6.783,-1.2215000000000007,1.2215000000000007,-18.008255933952537,1.2775750000000001,17.258358882802703,0.7571416751897703
16384,6.6084000000000005,0.0,5,7.8568,-1.2483999999999993,1.2483999999999993,-15.889420629263814,1.2775750000000001,17.258358882802703,0.7571416751897703
32768,8.5615,0.0,5,10.0042,-1.4427000000000003,1.4427000000000003,-14.420943203854383,1.2775750000000001,17.258358882802703,0.7571416751897703
65536,12.6514,0.0,5,14.2992,-1.6478000000000002,1.6478000000000002,-11.523721606803178,1.2775750000000001,17.258358882802703,0.7571416751897703
